source,section,topic,key_fact,project_mapping,notes
NASA_NTRS_20090029214,overview,paper_scope,"Damage propagation modeling for aircraft engine run-to-failure simulation (C-MAPSS / PHM08 challenge data).",device_model=CMAPSS-Turbofan,Same technical content as NASA_Saxena_2008_CMAPSS_DamagePropagation.pdf
NASA_NTRS_20090029214,overview,fault_injection_method,"Faults / degradation are implanted by modifying rotating-module health parameters: flow modifiers and efficiency modifiers (and PR modifiers where applicable) on Fan LPC HPC HPT LPT.",health_params=*_flow_mod/*_eff_mod/*_PR_mod,Official NASA mechanism — not OEM FMEA tables
NASA_NTRS_20090029214,challenge_subsets,FD001,"1 operating condition; 1 fault mode = HPC Degradation.",fault_mode=HPC_Degradation,Primary seed for local FMEA / cases
NASA_NTRS_20090029214,challenge_subsets,FD002,"6 operating conditions; 1 fault mode = HPC Degradation.",fault_mode=HPC_Degradation,Same fault as FD001 with multi-condition ops
NASA_NTRS_20090029214,challenge_subsets,FD003,"1 operating condition; 2 fault modes = HPC Degradation + Fan Degradation.",fault_modes=HPC+Fan,Use when fan channels Nf/NRf/BPR also drift
NASA_NTRS_20090029214,challenge_subsets,FD004,"6 operating conditions; 2 fault modes = HPC Degradation + Fan Degradation.",fault_modes=HPC+Fan,Multi-condition + dual-module degradation
NASA_NTRS_20090029214,sensors,Table2_s1,"s1 / T2 — Total temperature at fan inlet.",feature=s1,Often near-constant in FD001; weak solo symptom
NASA_NTRS_20090029214,sensors,Table2_s2,"s2 / T24 — Total temperature at LPC outlet.",feature=s2,Typically increases under gas-path degradation
NASA_NTRS_20090029214,sensors,Table2_s3,"s3 / T30 — Total temperature at HPC outlet.",feature=s3,High-confidence HPC degradation signature (increase)
NASA_NTRS_20090029214,sensors,Table2_s4,"s4 / T50 — Total temperature at LPT outlet (EGT proxy).",feature=s4,Classic EGT rise under HPC/turbine efficiency loss
NASA_NTRS_20090029214,sensors,Table2_s5,"s5 / P2 — Pressure at fan inlet.",feature=s5,Often weak/constant in FD001
NASA_NTRS_20090029214,sensors,Table2_s6,"s6 / P15 — Total pressure in bypass duct.",feature=s6,Often weak/constant in FD001
NASA_NTRS_20090029214,sensors,Table2_s7,"s7 / P30 — Total pressure at HPC outlet.",feature=s7,May decrease as compressor performance drops
NASA_NTRS_20090029214,sensors,Table2_s8,"s8 / Nf — Physical fan speed.",feature=s8,Sensitive under Fan Degradation (FD003/FD004)
NASA_NTRS_20090029214,sensors,Table2_s9,"s9 / Nc — Physical core speed.",feature=s9,Often increases when controller holds thrust
NASA_NTRS_20090029214,sensors,Table2_s10,"s10 / epr — Engine pressure ratio (P50/P2).",feature=s10,Pressure-ratio related; may be weak alone
