device_model,failure_mode,effect,symptom_signature,severity,occurrence,detection,risk_priority,source,notes
CMAPSS-Turbofan,高压压气机效率/流量退化,HPC 做功能力下降、需加燃油保推力,"s3↑;s4↑;s12↑;s9↑;s14↑;s15↓",9,7,4,252,NASA_Saxena_2008+CMAPSS_FD001,主故障模式 FD001/FD002；T30/T50/phi/Nc 典型上升
CMAPSS-Turbofan,高压压气机叶片结垢,压气机效率下降、压比能力变差,"s4↑;s12↑;s7↓;s3↑;s15↓",8,5,4,160,NASA_Saxena_2008+gas_path_physics,语义对齐 docs 结垢案例；NASA 编号：T50↑ phi↑ P30↓
CMAPSS-Turbofan,风扇效率/流量退化,风扇模块性能下降、涵道匹配恶化,"s8↑;s13↑;s15↓;s4↑;s2↑",8,4,5,160,NASA_Saxena_2008+CMAPSS_FD003,FD003/FD004 附加故障；Nf/NRf/BPR 敏感
CMAPSS-Turbofan,高压压气机退化叠加风扇退化,HPC 与 Fan 同时发生 flow/efficiency 劣化,"s3↑;s4↑;s8↑;s12↑;s13↑;s15↓",9,4,5,180,NASA_Saxena_2008+CMAPSS_FD003,FD003/FD004 组合故障；与案例 taxonomy 对齐
CMAPSS-Turbofan,低压压气机效率/流量退化,LPC 温升与匹配变化,"s2↑;s3↑;s4↑;s12↑",7,4,5,140,NASA_Saxena_2008+N-CMAPSS,LPC_eff/flow 健康参数注入
CMAPSS-Turbofan,高压涡轮效率下降,涡轮做功不足、排气温度升高,"s4↑;s12↑;s9↑;s20↑",9,3,5,135,NASA_Chao_2021_N-CMAPSS_DS01,N-CMAPSS DS01 典型 HPT_E
CMAPSS-Turbofan,低压涡轮效率/流量退化,LPT 热端与转速匹配异常,"s4↑;s9↑;s21↑;s8↑",8,3,5,120,NASA_Chao_2021_N-CMAPSS_DS02,DS02：HPT_E+LPT_E+LPT_F 组合退化
CMAPSS-Turbofan,多模块气路综合退化,多部件 flow/efficiency 同时劣化,"s3↑;s4↑;s12↑;s14↑;s17↑;s20↑;s21↑",9,4,4,144,NASA_Saxena_2008_response_surface,对应 response surface 全局热端上漂
CMAPSS-Turbofan,燃烧室燃油雾化不良/喷嘴堵塞,燃烧效率下降、需更多燃油,"s4↑;s12↑;s16↑;s3↑",7,3,5,105,gas_path_physics+docs_analogy,公开 CMAPSS 未单独植入；按气路机理推断
CMAPSS-Turbofan,涡轮叶片烧蚀/冷却失效,涡轮效率下降、冷却引气异常,"s4↑;s20↓;s21↓;s13↓",9,2,6,108,gas_path_physics+docs_analogy,冷却流量异常下降 + EGT 上升
CMAPSS-Turbofan,高压压气机喘振裕度侵蚀,逼近喘振、热端与转速波动,"s3↑;s4↑;s9↑;s11↑;s7↓",9,3,4,108,NASA_Saxena_2008_health_index,健康指数含 HPC stall margin
CMAPSS-Turbofan,轴承润滑失效,摩擦热与振动上升（旋转机械兜底）,"vib↑;temp↑",8,4,3,96,SKF_Bearing_failure_handbook,非气路传感器；外挂振动/温度通道
